Province,Area,Bedrooms,Bathrooms,Floors,HouseType,Price
Đồng Nai,25.3,2,1,2,Nhà phố,4.66
Hải Phòng,67.1,3,2,1,Nhà trọ,5.854
Bình Dương,119.2,3,4,1,Nhà trọ,7.359
Quảng Ninh,207.0,5,5,3,Nhà trọ,10.809
Hà Nội,93.7,2,2,2,Đất nền,20.428
Cần Thơ,54.2,2,2,3,Đất nền,4.112
Đồng Nai,55.1,2,3,1,Chung cư,5.448
Hà Nội,153.0,3,3,2,Chung cư,29.657
Hải Phòng,79.0,4,3,1,Chung cư,11.261
Bình Dương,89.6,2,3,1,Nhà trọ,7.068
TP.HCM,130.2,3,2,1,Đất nền,23.979
Bà Rịa-VT,20.0,2,1,1,Nhà trọ,2.749
Cần Thơ,298.9,3,4,2,Chung cư,26.23
Bà Rịa-VT,58.1,4,3,1,Đất nền,6.302
Hà Nội,104.1,2,2,5,Biệt thự,41.506
Bình Dương,32.4,3,4,2,Nhà phố,10.608
Bình Dương,69.9,5,4,1,Nhà phố,19.221
Hải Phòng,190.0,4,4,1,Chung cư,26.673
Khánh Hòa,28.5,3,3,2,Nhà trọ,3.353
Hải Phòng,176.9,3,2,1,Biệt thự,39.208
Khánh Hòa,76.4,2,2,4,Đất nền,13.274
Khánh Hòa,120.6,3,4,5,Nhà trọ,13.349
Cần Thơ,133.6,4,3,1,Chung cư,13.995
Hải Phòng,117.3,3,3,2,Nhà trọ,8.544
TP.HCM,53.6,2,2,1,Chung cư,11.724
Đà Nẵng,72.3,2,1,3,Nhà phố,21.599
Đà Nẵng,37.5,2,1,2,Nhà phố,11.783
Hải Phòng,120.9,2,1,1,Nhà trọ,5.346
Hải Phòng,249.9,1,1,1,Biệt thự,42.414
Bà Rịa-VT,30.1,3,4,3,Đất nền,4.033
Cần Thơ,57.0,2,1,2,Chung cư,7.328
Hải Phòng,80.7,2,3,1,Đất nền,6.665
Bà Rịa-VT,99.9,3,4,3,Nhà phố,14.777
Khánh Hòa,152.6,2,1,2,Biệt thự,53.528
Bình Dương,82.2,1,2,4,Biệt thự,23.483
Bình Dương,74.5,2,1,1,Đất nền,8.663
Khánh Hòa,174.5,2,1,3,Nhà phố,29.337
Đồng Nai,133.9,3,3,3,Đất nền,15.581
Bà Rịa-VT,124.4,2,1,1,Nhà trọ,5.391
Bà Rịa-VT,96.3,4,4,3,Biệt thự,23.149
Khánh Hòa,162.4,4,5,2,Biệt thự,62.36
TP.HCM,60.7,3,3,4,Nhà trọ,10.486
Quảng Ninh,55.9,3,4,1,Nhà phố,11.534
Hà Nội,140.8,4,3,3,Biệt thự,55.978
Khánh Hòa,34.0,3,4,2,Chung cư,8.776
Hải Phòng,95.1,1,2,5,Chung cư,11.177
Hải Phòng,74.4,2,1,2,Nhà phố,9.523
Cần Thơ,38.7,4,5,5,Nhà trọ,4.009
Khánh Hòa,51.5,2,1,4,Đất nền,9.62
Cần Thơ,84.3,1,1,1,Nhà phố,8.819
Khánh Hòa,167.4,3,2,3,Đất nền,28.568
Bà Rịa-VT,60.8,4,3,5,Nhà phố,15.931
Hà Nội,186.4,2,3,1,Chung cư,26.204
Bà Rịa-VT,93.5,3,3,2,Nhà trọ,7.22
Quảng Ninh,197.6,2,1,2,Chung cư,18.244
Bình Dương,62.6,3,3,1,Nhà trọ,5.719
Đà Nẵng,87.4,2,2,1,Đất nền,9.998
Khánh Hòa,112.3,2,3,1,Nhà phố,30.491
Quảng Ninh,80.8,4,3,1,Biệt thự,24.693
Bình Dương,159.5,3,4,2,Biệt thự,37.288
Đồng Nai,23.9,3,2,1,Nhà trọ,2.097
Hà Nội,385.1,3,3,4,Nhà trọ,27.904
Cần Thơ,150.6,2,1,3,Chung cư,14.769
Cần Thơ,81.1,3,2,1,Biệt thự,22.225
Bà Rịa-VT,64.6,2,2,3,Chung cư,8.158
Hải Phòng,53.5,2,2,3,Đất nền,6.448
Bình Dương,132.6,2,1,5,Biệt thự,28.558
Đồng Nai,163.5,3,4,1,Đất nền,13.997
Quảng Ninh,81.7,5,4,1,Nhà phố,20.318
Hà Nội,174.9,5,5,4,Chung cư,33.865
Bình Dương,52.2,3,4,4,Nhà trọ,5.56
Đồng Nai,47.0,2,2,3,Biệt thự,12.255
Đà Nẵng,267.2,3,3,3,Chung cư,36.846
Khánh Hòa,128.3,4,5,1,Nhà trọ,11.2
Cần Thơ,208.1,2,2,2,Nhà phố,33.771
Quảng Ninh,53.9,5,5,1,Biệt thự,23.716
Cần Thơ,51.7,2,2,1,Đất nền,4.872
Quảng Ninh,72.6,5,5,3,Nhà phố,15.845
Bà Rịa-VT,54.9,4,4,1,Nhà trọ,3.727
Hải Phòng,137.4,4,4,2,Biệt thự,27.621
Quảng Ninh,57.4,2,2,4,Biệt thự,14.303
Cần Thơ,44.6,1,1,1,Nhà phố,7.008
Bà Rịa-VT,98.0,2,2,5,Biệt thự,24.134
Quảng Ninh,41.5,2,1,5,Nhà trọ,3.548
Đà Nẵng,30.6,1,1,2,Nhà phố,7.126
Hải Phòng,97.5,3,3,1,Đất nền,12.583
Quảng Ninh,31.5,3,2,2,Nhà phố,7.944
Bà Rịa-VT,143.3,3,4,2,Nhà phố,23.318
Bình Dương,39.0,3,2,2,Đất nền,4.38
TP.HCM,23.5,2,2,1,Nhà trọ,2.121
Đồng Nai,75.5,5,5,5,Chung cư,13.381
TP.HCM,98.2,2,1,1,Chung cư,15.862
TP.HCM,120.9,3,3,3,Đất nền,24.518
Hà Nội,99.8,3,4,1,Nhà trọ,11.269
Đà Nẵng,47.7,4,5,2,Biệt thự,33.543
Bình Dương,138.1,1,1,4,Đất nền,15.26
Khánh Hòa,160.1,3,4,1,Chung cư,25.678
Quảng Ninh,43.7,3,4,1,Nhà trọ,4.53
Đồng Nai,80.8,2,1,3,Nhà phố,14.799
Hải Phòng,76.4,3,4,3,Nhà trọ,5.446
Bình Dương,102.7,4,3,3,Nhà trọ,10.068
Cần Thơ,79.6,5,5,2,Chung cư,8.798
Khánh Hòa,86.4,1,1,1,Chung cư,13.364
Hà Nội,132.3,2,2,5,Biệt thự,42.968
Hà Nội,46.1,2,2,4,Biệt thự,28.488
Bình Dương,140.1,2,2,2,Đất nền,15.193
Bà Rịa-VT,178.5,2,2,3,Nhà phố,32.065
TP.HCM,240.0,2,2,2,Biệt thự,77.794
Cần Thơ,24.9,5,4,2,Chung cư,5.522
Hà Nội,80.7,4,4,1,Nhà trọ,12.756
Đồng Nai,27.7,1,2,2,Đất nền,4.08
Hà Nội,20.9,2,3,2,Biệt thự,18.463
Hải Phòng,98.1,3,3,1,Nhà trọ,5.416
Quảng Ninh,70.8,2,3,2,Nhà trọ,4.256
Hà Nội,107.8,3,2,3,Biệt thự,64.094
Hải Phòng,120.5,3,2,3,Nhà phố,20.008
Bình Dương,190.3,4,4,3,Nhà phố,36.892
Bình Dương,93.0,3,3,4,Đất nền,11.607
Khánh Hòa,500.0,3,3,1,Nhà phố,76.566
Hà Nội,108.2,3,4,2,Đất nền,25.006
Đồng Nai,271.9,2,3,3,Chung cư,30.348
Hà Nội,22.2,3,2,2,Biệt thự,30.086
Đồng Nai,202.3,3,4,2,Nhà trọ,9.889
Đà Nẵng,80.8,2,1,1,Đất nền,11.761
Khánh Hòa,28.0,2,3,4,Nhà phố,8.956
Đà Nẵng,115.9,2,1,2,Đất nền,14.226
Hà Nội,75.1,4,4,4,Đất nền,21.624
Khánh Hòa,127.5,2,3,2,Nhà phố,18.938
Đà Nẵng,165.1,2,1,3,Nhà phố,29.653
TP.HCM,36.8,2,3,3,Biệt thự,24.959
Hà Nội,165.5,3,3,3,Nhà trọ,15.55
Đà Nẵng,90.4,2,1,2,Biệt thự,30.342
TP.HCM,202.7,5,5,2,Biệt thự,129.476
TP.HCM,79.6,4,5,3,Nhà phố,33.567
Bình Dương,67.9,3,3,2,Nhà phố,15.478
Hà Nội,91.5,3,3,2,Nhà trọ,11.413
TP.HCM,95.7,1,1,1,Đất nền,17.397
Bình Dương,60.5,2,3,4,Biệt thự,17.07
Đà Nẵng,66.8,4,5,1,Nhà trọ,8.88
Hải Phòng,43.1,1,1,3,Biệt thự,13.179
Hà Nội,69.4,2,2,2,Đất nền,14.446
Khánh Hòa,135.1,3,2,2,Biệt thự,39.811
Đồng Nai,82.9,2,3,3,Chung cư,9.515
Đồng Nai,164.9,5,5,1,Nhà trọ,10.519
Đà Nẵng,80.5,2,1,2,Nhà phố,12.26
Bà Rịa-VT,38.1,4,3,3,Biệt thự,10.083
Bà Rịa-VT,128.8,3,3,3,Nhà trọ,6.325
Đà Nẵng,60.1,4,4,1,Nhà trọ,7.153
TP.HCM,78.3,2,1,4,Biệt thự,37.298
Hà Nội,189.2,3,2,3,Nhà phố,41.594
Đồng Nai,44.9,4,5,4,Nhà phố,11.14
Đồng Nai,99.4,3,2,2,Biệt thự,23.987
TP.HCM,87.9,2,1,2,Nhà trọ,10.235
Đồng Nai,137.1,3,4,4,Nhà phố,36.701
Khánh Hòa,150.4,3,2,4,Biệt thự,65.128
Hà Nội,105.5,3,3,2,Biệt thự,60.772
Quảng Ninh,72.5,5,5,1,Biệt thự,30.126
Đồng Nai,119.6,2,3,2,Nhà trọ,6.125
Đà Nẵng,200.6,3,2,2,Nhà phố,29.602
Khánh Hòa,88.6,4,4,1,Nhà trọ,7.38
Đồng Nai,76.7,3,3,1,Chung cư,12.891
Khánh Hòa,113.6,4,4,4,Nhà phố,27.019
Bình Dương,92.1,5,5,1,Nhà trọ,6.215
Quảng Ninh,40.3,3,2,3,Nhà phố,8.536
Cần Thơ,103.9,2,1,1,Chung cư,9.492
Đà Nẵng,40.1,1,1,2,Đất nền,5.922
Đà Nẵng,112.7,3,2,1,Biệt thự,37.247
Hà Nội,55.8,4,4,1,Nhà trọ,7.325
Khánh Hòa,92.0,2,3,3,Chung cư,18.069
TP.HCM,113.8,2,3,4,Chung cư,23.727
Đà Nẵng,392.4,1,1,1,Nhà phố,63.854
Khánh Hòa,140.6,4,4,2,Nhà phố,38.954
Khánh Hòa,204.2,2,3,2,Biệt thự,57.665
Hải Phòng,276.7,3,4,4,Nhà phố,37.44
Hải Phòng,120.7,3,3,3,Nhà trọ,8.99
Cần Thơ,106.8,4,4,2,Nhà trọ,5.794
Bình Dương,47.5,3,2,3,Nhà trọ,4.2
Cần Thơ,83.9,3,2,3,Đất nền,9.57
Đồng Nai,58.3,2,3,1,Nhà trọ,6.434
TP.HCM,70.8,3,3,2,Nhà phố,31.332
Đồng Nai,276.6,3,4,4,Nhà phố,46.089
Bà Rịa-VT,96.4,5,4,3,Nhà trọ,7.156
Đồng Nai,53.2,2,1,2,Chung cư,5.462
Hà Nội,205.4,1,2,2,Chung cư,36.323
Đồng Nai,159.7,1,1,2,Chung cư,15.717
Cần Thơ,164.8,2,2,2,Biệt thự,36.621
Đà Nẵng,27.0,4,5,3,Đất nền,8.19
Đà Nẵng,289.8,1,1,2,Nhà trọ,20.621
Hải Phòng,64.4,3,3,3,Biệt thự,19.428
TP.HCM,143.6,2,1,4,Chung cư,31.245
TP.HCM,409.2,1,1,1,Nhà trọ,33.03
Hà Nội,328.1,3,4,2,Biệt thự,120.837
Cần Thơ,50.1,2,2,2,Nhà phố,11.755
Hải Phòng,37.8,2,2,3,Chung cư,6.411
Bà Rịa-VT,212.3,3,3,1,Biệt thự,41.534
TP.HCM,98.0,3,3,3,Nhà phố,52.056
Đà Nẵng,66.7,2,2,4,Chung cư,8.454
Đồng Nai,130.7,5,4,2,Đất nền,11.706
Đồng Nai,81.6,3,4,4,Chung cư,16.18
Hải Phòng,137.1,4,3,5,Đất nền,15.188
Cần Thơ,93.7,1,2,1,Đất nền,7.594
Cần Thơ,138.9,1,2,1,Đất nền,8.829
Bình Dương,52.6,1,2,5,Nhà trọ,4.91
Quảng Ninh,211.6,2,3,5,Nhà trọ,13.273
TP.HCM,136.8,3,4,1,Đất nền,22.342
Cần Thơ,132.7,5,5,1,Nhà phố,21.121
Đà Nẵng,46.0,3,2,1,Đất nền,7.016
Hải Phòng,249.6,2,1,5,Biệt thự,59.064
Bà Rịa-VT,89.3,3,3,1,Đất nền,6.647
Bình Dương,139.3,2,3,2,Nhà trọ,11.963
Khánh Hòa,74.2,3,2,3,Nhà trọ,9.178
Hà Nội,105.3,3,3,1,Biệt thự,45.004
Bà Rịa-VT,107.6,4,4,3,Biệt thự,25.492
Khánh Hòa,20.0,5,4,1,Chung cư,8.46
Đồng Nai,127.7,2,1,4,Nhà phố,17.32
Hà Nội,292.7,3,4,1,Nhà phố,68.645
TP.HCM,124.4,4,5,3,Nhà phố,43.708
Đà Nẵng,50.7,4,3,3,Nhà trọ,8.256
Hà Nội,133.0,3,4,1,Nhà phố,46.723
Quảng Ninh,170.0,5,5,1,Chung cư,22.984
Khánh Hòa,122.4,1,2,2,Chung cư,19.323
TP.HCM,86.1,5,5,1,Nhà phố,28.924
Quảng Ninh,77.8,1,1,3,Biệt thự,18.248
Đồng Nai,77.7,3,4,3,Chung cư,13.185
Quảng Ninh,136.8,4,4,2,Biệt thự,27.008
Bình Dương,38.7,2,3,3,Nhà trọ,4.479
Bình Dương,72.0,3,2,3,Chung cư,16.859
Hải Phòng,234.5,2,3,3,Biệt thự,66.153
Bà Rịa-VT,240.0,5,4,2,Nhà phố,42.808
Bà Rịa-VT,37.1,4,3,1,Nhà trọ,3.378
TP.HCM,45.7,3,2,1,Đất nền,14.496
Đồng Nai,76.5,3,2,2,Đất nền,7.521
Cần Thơ,153.8,4,3,2,Nhà phố,26.859
Bình Dương,30.1,2,2,2,Nhà trọ,3.515
TP.HCM,87.1,3,3,1,Nhà trọ,12.727
Cần Thơ,67.7,3,3,3,Nhà trọ,6.249
Bà Rịa-VT,199.5,2,1,1,Nhà trọ,8.336
Hải Phòng,32.9,1,2,1,Đất nền,3.846
Quảng Ninh,95.2,1,1,2,Biệt thự,21.527
Bình Dương,71.1,2,3,1,Nhà trọ,4.391
TP.HCM,217.4,4,5,2,Biệt thự,111.939
Hà Nội,128.8,3,2,2,Nhà trọ,9.979
Cần Thơ,63.3,3,2,2,Chung cư,9.521
Quảng Ninh,150.2,2,1,2,Chung cư,14.862
Bình Dương,71.3,2,2,1,Chung cư,8.411
Bà Rịa-VT,164.0,2,1,1,Nhà trọ,6.581
Đồng Nai,78.1,4,4,4,Biệt thự,24.824
Cần Thơ,169.5,3,3,2,Đất nền,16.979
Bà Rịa-VT,116.9,5,5,2,Nhà phố,21.322
Bình Dương,500.0,3,3,1,Đất nền,40.731
Cần Thơ,87.2,3,2,2,Nhà trọ,4.529
Quảng Ninh,113.3,3,3,2,Chung cư,14.554
Bình Dương,67.5,5,4,2,Chung cư,10.24
Khánh Hòa,90.2,4,3,3,Biệt thự,38.302
TP.HCM,20.0,1,1,1,Nhà trọ,3.383
Quảng Ninh,119.0,3,2,1,Đất nền,11.975
Cần Thơ,201.5,3,4,3,Nhà trọ,13.062
Đồng Nai,114.2,3,2,4,Nhà trọ,5.911
Bà Rịa-VT,40.9,2,1,1,Chung cư,3.128
Hà Nội,55.6,4,4,2,Đất nền,12.703
Bà Rịa-VT,20.9,5,5,1,Nhà phố,11.715
Cần Thơ,162.0,2,1,1,Chung cư,21.964
Bà Rịa-VT,49.2,4,4,2,Đất nền,9.338
TP.HCM,88.5,1,2,1,Biệt thự,40.595
Bình Dương,82.1,1,2,3,Chung cư,7.284
Hà Nội,219.8,2,2,2,Biệt thự,53.84
Đà Nẵng,94.7,1,1,1,Chung cư,10.72
Cần Thơ,146.3,4,5,1,Nhà trọ,8.359
Hải Phòng,124.9,1,2,3,Đất nền,15.352
Đà Nẵng,203.5,2,1,1,Biệt thự,66.167
Bà Rịa-VT,78.0,2,2,3,Chung cư,8.565
Cần Thơ,276.4,2,3,2,Biệt thự,46.157
Khánh Hòa,27.3,1,1,2,Chung cư,4.507
Hải Phòng,150.6,3,2,2,Chung cư,17.289
Hà Nội,53.5,2,3,1,Nhà phố,21.058
Đồng Nai,67.0,4,4,1,Nhà phố,15.463
Khánh Hòa,126.7,4,5,1,Nhà phố,25.701
Đà Nẵng,126.1,1,1,2,Biệt thự,40.454
Bình Dương,129.5,4,5,3,Nhà trọ,10.931
TP.HCM,39.2,1,1,1,Chung cư,7.583
Đồng Nai,214.7,2,1,1,Đất nền,15.984
Khánh Hòa,52.4,1,1,2,Nhà phố,14.294
Bình Dương,56.8,2,3,3,Biệt thự,18.852
Bình Dương,132.0,3,4,5,Biệt thự,54.716
Cần Thơ,75.8,4,4,2,Biệt thự,24.233
Khánh Hòa,108.3,2,3,2,Đất nền,14.054
Hà Nội,24.7,3,3,2,Đất nền,8.478
Bà Rịa-VT,106.8,2,3,4,Nhà phố,15.976
Hải Phòng,102.6,4,4,3,Đất nền,10.483
Hải Phòng,66.3,2,2,2,Nhà phố,9.996
Đà Nẵng,25.9,2,1,1,Đất nền,5.17
Đà Nẵng,79.2,2,1,1,Đất nền,11.632
Hải Phòng,88.0,2,2,2,Đất nền,10.292
Hà Nội,72.2,3,4,3,Nhà phố,35.491
TP.HCM,29.9,4,5,2,Chung cư,12.907
Quảng Ninh,234.4,1,2,1,Nhà phố,43.389
Bà Rịa-VT,61.4,3,3,3,Chung cư,6.411
TP.HCM,78.8,3,3,3,Biệt thự,38.475
Cần Thơ,21.2,4,4,1,Biệt thự,8.128
Quảng Ninh,234.4,2,2,3,Nhà phố,29.752
Quảng Ninh,68.0,3,2,2,Chung cư,7.734
Khánh Hòa,95.5,4,4,4,Chung cư,20.646
Hà Nội,176.3,3,4,3,Chung cư,36.274
Hà Nội,60.0,2,1,2,Biệt thự,22.606
Quảng Ninh,160.4,2,3,3,Nhà phố,22.086
Khánh Hòa,26.1,2,2,4,Nhà trọ,3.778
Bà Rịa-VT,125.3,3,2,2,Chung cư,8.435
Quảng Ninh,231.2,3,3,2,Chung cư,18.777
Đồng Nai,63.5,2,1,3,Nhà trọ,3.795
Đà Nẵng,176.1,3,4,1,Nhà phố,46.138
Đà Nẵng,270.5,3,3,2,Chung cư,35.83
TP.HCM,77.3,3,3,4,Nhà phố,35.397
Cần Thơ,73.5,3,2,3,Chung cư,6.513
Đà Nẵng,52.5,4,3,2,Đất nền,12.001
Bình Dương,66.3,2,2,1,Chung cư,11.468
TP.HCM,55.2,4,3,2,Đất nền,10.427
Đà Nẵng,52.5,2,2,1,Nhà phố,10.653
Cần Thơ,184.8,2,1,1,Chung cư,18.229
Hà Nội,56.0,2,3,3,Biệt thự,35.45
Hà Nội,105.1,2,1,1,Biệt thự,37.93
Bà Rịa-VT,92.1,2,3,2,Nhà trọ,4.882
Quảng Ninh,221.2,2,1,2,Biệt thự,40.996
Đồng Nai,66.6,4,3,5,Đất nền,9.615
Hà Nội,113.1,2,2,2,Biệt thự,61.877
Khánh Hòa,144.7,3,2,1,Biệt thự,41.685
Đà Nẵng,220.0,1,1,1,Biệt thự,71.173
Khánh Hòa,66.0,5,5,2,Chung cư,13.145
Cần Thơ,62.1,3,2,2,Nhà trọ,3.575
Hà Nội,47.6,1,1,2,Nhà phố,17.044
Đồng Nai,344.4,4,5,2,Nhà trọ,23.712
Cần Thơ,206.6,3,3,1,Đất nền,20.452
Bình Dương,87.8,4,4,2,Chung cư,10.179
Bình Dương,286.8,3,3,2,Chung cư,29.116
Khánh Hòa,84.7,3,3,1,Biệt thự,38.846
Quảng Ninh,139.0,4,5,1,Biệt thự,35.639
TP.HCM,90.6,3,2,1,Đất nền,15.434
Quảng Ninh,114.3,1,1,1,Chung cư,11.927
Bà Rịa-VT,107.2,4,5,3,Nhà phố,15.348
Quảng Ninh,69.8,2,2,1,Nhà trọ,6.308
Bà Rịa-VT,173.4,3,2,1,Chung cư,21.087
Bà Rịa-VT,138.3,1,2,1,Nhà phố,19.367
Đồng Nai,166.8,3,4,5,Nhà phố,36.826
Hà Nội,109.1,5,4,4,Nhà trọ,14.811
Đồng Nai,52.3,2,3,1,Nhà phố,12.007
Bà Rịa-VT,251.0,2,1,2,Đất nền,24.951
Cần Thơ,76.9,3,4,1,Nhà phố,13.997
Bình Dương,112.0,4,5,2,Đất nền,13.546
Bà Rịa-VT,131.8,3,2,1,Nhà phố,12.635
Đồng Nai,111.5,2,1,3,Biệt thự,26.859
Cần Thơ,155.9,5,5,2,Nhà phố,29.231
Đồng Nai,171.4,3,4,4,Đất nền,21.013
Quảng Ninh,78.7,2,1,1,Nhà phố,13.341
Đà Nẵng,238.7,1,1,3,Nhà phố,37.582
Khánh Hòa,76.7,3,4,3,Nhà phố,14.671
TP.HCM,110.2,2,3,1,Đất nền,19.878
Đồng Nai,71.3,2,3,2,Nhà phố,12.396
TP.HCM,60.1,4,3,1,Nhà trọ,9.308
Hải Phòng,168.4,1,2,1,Nhà trọ,10.492
Đồng Nai,500.0,3,3,1,Đất nền,63.429
Đà Nẵng,72.5,2,1,2,Biệt thự,24.204
TP.HCM,186.6,4,5,2,Nhà trọ,22.66
Bà Rịa-VT,74.0,3,2,4,Chung cư,8.137
Đồng Nai,89.5,1,1,1,Nhà trọ,5.252
Hà Nội,258.4,3,2,5,Chung cư,39.958
Khánh Hòa,47.3,2,3,1,Đất nền,8.521
Đà Nẵng,40.3,4,4,3,Biệt thự,24.44
TP.HCM,85.4,4,4,2,Chung cư,24.67
Đà Nẵng,134.0,3,4,1,Chung cư,21.087
Cần Thơ,118.9,3,4,4,Nhà trọ,8.092
Khánh Hòa,111.8,2,3,2,Chung cư,12.532
Bà Rịa-VT,91.9,3,2,3,Đất nền,9.8
Đồng Nai,144.3,2,1,2,Đất nền,11.633
Đồng Nai,20.0,2,1,2,Đất nền,2.699
Đồng Nai,57.4,3,4,2,Nhà trọ,3.904
Khánh Hòa,85.1,1,2,3,Biệt thự,33.01
Hà Nội,137.4,3,2,1,Nhà trọ,13.924
Hải Phòng,220.1,1,1,3,Đất nền,13.661
Bình Dương,52.9,3,2,4,Nhà trọ,5.503
Quảng Ninh,215.8,2,2,1,Đất nền,13.607
TP.HCM,68.6,2,3,1,Nhà phố,25.564
Hà Nội,83.3,3,4,3,Nhà phố,30.129
Bà Rịa-VT,127.6,5,4,2,Chung cư,16.401
TP.HCM,79.7,4,3,2,Biệt thự,69.51
Đồng Nai,175.2,2,3,1,Nhà phố,20.01
Đà Nẵng,70.6,2,1,2,Đất nền,9.165
Bà Rịa-VT,71.3,4,5,1,Nhà trọ,4.756
TP.HCM,169.2,3,4,2,Nhà trọ,22.818
Đồng Nai,56.9,2,2,3,Chung cư,8.076
TP.HCM,104.5,4,3,1,Nhà trọ,13.375
Đà Nẵng,33.2,4,5,2,Nhà phố,12.385
Đồng Nai,268.2,5,4,5,Nhà trọ,13.167
Hải Phòng,185.7,4,4,3,Nhà phố,37.17
Hà Nội,468.7,4,4,3,Nhà phố,129.118
Cần Thơ,200.9,1,1,2,Biệt thự,46.917
Quảng Ninh,45.7,2,1,3,Chung cư,5.681
Khánh Hòa,134.4,3,4,1,Đất nền,16.838
Quảng Ninh,51.9,3,3,1,Nhà phố,8.45
Bà Rịa-VT,232.0,3,3,1,Chung cư,21.783
Quảng Ninh,46.5,2,2,2,Đất nền,4.475
Đồng Nai,45.2,3,2,3,Nhà trọ,5.802
Hải Phòng,34.3,3,4,2,Chung cư,5.146
Cần Thơ,67.2,1,1,3,Chung cư,7.371
Hà Nội,59.5,2,1,3,Chung cư,18.211
Hà Nội,42.2,3,2,2,Nhà trọ,7.321
Đà Nẵng,297.0,3,4,2,Nhà trọ,21.819
Khánh Hòa,123.7,2,1,2,Chung cư,15.126
TP.HCM,115.3,3,3,2,Biệt thự,45.9
Hải Phòng,233.6,3,3,1,Nhà phố,40.425
TP.HCM,105.0,3,3,5,Nhà trọ,20.27
Cần Thơ,57.4,1,2,1,Biệt thự,12.274
Quảng Ninh,32.5,3,2,1,Nhà trọ,2.324
Hà Nội,55.5,2,3,4,Chung cư,8.817
Cần Thơ,222.1,4,3,2,Biệt thự,39.075
Quảng Ninh,42.4,2,2,3,Đất nền,5.303
Hà Nội,111.3,3,2,2,Nhà phố,44.875
Quảng Ninh,167.4,1,1,2,Nhà phố,25.913
Khánh Hòa,106.8,3,2,1,Nhà trọ,10.106
Hải Phòng,114.4,3,4,2,Nhà phố,18.524
Bà Rịa-VT,133.4,2,1,2,Đất nền,9.404
Cần Thơ,113.0,3,2,3,Biệt thự,35.293
Cần Thơ,236.4,2,1,2,Biệt thự,48.414
Bình Dương,48.2,2,3,4,Chung cư,5.476
Đồng Nai,104.0,3,4,1,Biệt thự,24.644
Khánh Hòa,30.2,2,3,2,Nhà trọ,3.552
Khánh Hòa,25.9,4,3,2,Đất nền,6.822
TP.HCM,85.7,3,3,4,Chung cư,25.728
Quảng Ninh,124.7,3,3,1,Nhà trọ,7.332
Đồng Nai,239.5,1,1,2,Nhà trọ,12.578
Hải Phòng,384.5,3,2,4,Nhà trọ,27.47
Hải Phòng,198.7,4,4,1,Nhà phố,27.338
Khánh Hòa,139.3,2,2,4,Nhà trọ,17.404
Hải Phòng,99.1,4,4,1,Nhà phố,16.15
Bình Dương,35.9,2,1,3,Biệt thự,13.643
Cần Thơ,82.5,4,4,4,Nhà phố,14.872
Đà Nẵng,195.2,1,1,3,Nhà trọ,13.725
Bà Rịa-VT,154.3,4,3,2,Đất nền,14.59
TP.HCM,41.6,3,4,1,Đất nền,13.717
Quảng Ninh,130.1,2,2,4,Biệt thự,26.495
Bà Rịa-VT,123.6,2,3,2,Nhà trọ,5.215
Quảng Ninh,111.0,3,3,1,Nhà phố,29.349
Hà Nội,88.5,5,4,3,Đất nền,18.24
Bà Rịa-VT,134.2,2,3,2,Chung cư,14.447
Đà Nẵng,136.8,2,3,1,Nhà trọ,7.422
Khánh Hòa,61.3,3,4,1,Nhà trọ,6.504
Bình Dương,118.3,3,4,1,Chung cư,14.986
Cần Thơ,80.3,3,3,2,Đất nền,9.208
Cần Thơ,36.9,3,3,3,Chung cư,3.566
Bình Dương,64.3,2,3,2,Biệt thự,21.439
Đồng Nai,35.2,4,4,3,Nhà phố,8.7
Hà Nội,162.1,3,4,4,Nhà phố,50.509
Quảng Ninh,111.4,2,3,3,Đất nền,8.923
Đà Nẵng,72.7,3,2,1,Chung cư,9.645
Hải Phòng,211.1,3,4,3,Nhà trọ,12.028
Bà Rịa-VT,93.8,2,2,2,Nhà trọ,4.124
Hà Nội,38.1,3,4,2,Nhà trọ,6.217
Bà Rịa-VT,69.2,2,1,3,Biệt thự,12.607
Đà Nẵng,239.8,3,3,2,Biệt thự,47.783
TP.HCM,60.2,4,3,4,Nhà trọ,13.268
TP.HCM,106.2,2,1,1,Đất nền,15.455
Hà Nội,140.7,2,3,3,Biệt thự,58.646
Khánh Hòa,128.2,4,3,1,Biệt thự,54.44
Đà Nẵng,391.4,5,4,4,Nhà phố,64.573
Đà Nẵng,44.4,3,3,1,Nhà phố,10.67
Bình Dương,47.2,3,2,1,Đất nền,7.015
Khánh Hòa,44.9,3,4,2,Biệt thự,29.724
Quảng Ninh,75.4,5,5,2,Biệt thự,19.756
Quảng Ninh,174.1,4,5,1,Chung cư,18.345
Hải Phòng,48.5,2,1,2,Đất nền,3.987
Cần Thơ,175.6,3,3,2,Đất nền,14.081
TP.HCM,91.9,3,4,1,Chung cư,23.368
Quảng Ninh,46.3,4,3,2,Chung cư,6.362
Khánh Hòa,31.5,3,4,3,Nhà phố,12.37
Đà Nẵng,36.0,3,4,3,Đất nền,5.961
Quảng Ninh,60.4,5,5,3,Đất nền,9.213
Đà Nẵng,81.3,1,2,3,Chung cư,14.496
Quảng Ninh,201.9,2,2,2,Nhà trọ,8.691
TP.HCM,145.4,3,2,1,Nhà trọ,15.397
Bà Rịa-VT,54.4,2,3,1,Nhà phố,9.948
